[00:57:35]: [Join Announcement] ứng ngọc sơn
[00:58:49]: [Announcement] ứng ngọc sơn   successfully entered game   Completed Achievement [New Beginning]
[02:35:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:21]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:21]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:22]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:23]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:23]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:24]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:25]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:29]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:30]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:30]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:32]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:32]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:39]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:40]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:40]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:41]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:42]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:42]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:43]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:44]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:46]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:47]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:51]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:04]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:08]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:25]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:29]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:30]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:30]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:32]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:39]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:40]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:41]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:41]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:42]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:43]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:44]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:44]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:46]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:46]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:47]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:48]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:36:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:04]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:08]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:09]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:10]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:10]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:11]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:30]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:32]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:33]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:33]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:34]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:34]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:35]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:36]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:36]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:37]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:39]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:44]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:46]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:46]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:47]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:48]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:49]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:49]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:51]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:37:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:08]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:09]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:09]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:10]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:11]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:20]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:20]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:21]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:22]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:22]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:23]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:24]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:24]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:25]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:42]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:43]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:44]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:44]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:46]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:46]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:47]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:48]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:49]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:49]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:51]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:38:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:04]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:08]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:09]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:09]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:10]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:11]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:20]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:48]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:49]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:51]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:39:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:11]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:20]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:21]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:22]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:39]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:40]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:41]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:41]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:40:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
