[00:51:25]: [Join Announcement] GMC6
[00:51:53]: [Announcement] GMC6   has a Krampus Sack   Completed Achievement [Top 1%]
[00:57:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:53]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:58:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:59:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
