[11:23:09]: [Join Announcement] GMC6
[12:03:33]: [Announcement] World(Cave) Cleaning —『 The trees come up to my window like the yearning voice of the dumb earth.(Stray Birds-Ranbindranath Tagore)』
[12:03:47]: [Announcement] World(Forest) Cleaning —『 Never be afraid of the moments--thus sings the voice of the everlasting(Stray Birds-Ranbindranath Tagore)』
[12:24:51]: [Leave Announcement] GMC6
[12:26:48]: [Join Announcement] GMC6
[12:27:29]: [Leave Announcement] GMC6
[12:28:35]: [Join Announcement] GMC6
[12:47:33]: [Announcement] World(Cave) Cleaning —『 The mind, sharp but not broad, sticks at every point but does not move.(Stray Birds-Ranbindranath Tagore)』
[12:47:51]: [Announcement] World(Forest) Cleaning —『 It is the tears of the earth that keep here smiles in bloom. (Stray Birds-Ranbindranath Tagore)』
[12:58:36]: [Announcement] Performance Pack: Server cleaning
[13:27:40]: [Announcement] World(Cave) Cleaning —『 The mist, like love, plays upon the heart of the hills and brings out surprises of beauty.(Stray Birds-Ranbindranath Tagore)』
[13:28:01]: [Announcement] World(Forest) Cleaning —『 The stars are not afraid to appear like fireflies.(Stray Birds-Ranbindranath Tagore)』
[13:49:53]: [Announcement] GMC6   befriended Bunnymen 20 times   Completed Achievement [Bunny Leader]
[14:16:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:53]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:53]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:53]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:53]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:53]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:18:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:19:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
